"","Ea_o","Hd_o","dS_o","k25_o","residual_o","BIC_o","Parameter","MA","ID","Ea","Hd","dS","k25","residual","BIC","Parameter","MA","ID"
"183",195.207184096524,141.704270818554,3.07419146278039,34.3618607627988,76.6919015078647,41.274279626426,"Vcmax","Old",1,165.748912230582,114.766021223853,1.52118098712515,34.3641344142822,76.6183758007034,41.2685245748464,"Vcmax","New",1
"13",53.5029089806401,200,0.468505972434988,34.3618612355939,76.6919015729726,39.4825201622916,"Vcmax","Old",1,50.98288445671,200,0.472175843257713,34.3641362626207,76.6183759017712,39.476765113533,"Vcmax","New",1
"1832",195.207184096524,141.704270818554,3.07419146278039,34.3618607627988,76.6919015078647,41.274279626426,"Vcmax","Old",2,165.748912230582,114.766021223853,1.52118098712515,34.3641344142822,76.6183758007034,41.2685245748464,"Vcmax","New",2
"131",53.5029089806401,200,0.468505972434988,34.3618612355939,76.6919015729726,39.4825201622916,"Vcmax","Old",2,50.98288445671,200,0.472175843257713,34.3641362626207,76.6183759017712,39.476765113533,"Vcmax","New",2
"188",467.487486663038,388.747962123321,1.31076475708846,21.9741158669168,267.810899473803,55.1052870941175,"Vcmax","Old",3,465.012674437334,388.816383000753,1.31098500416302,21.973580330819,267.808845416419,55.1052334052764,"Vcmax","New",3
"132",172.772600033265,200,0.653102696985559,21.2975459104079,292.747243348598,53.7825761199267,"Vcmax","Old",3,170.468149503987,200,0.653146568581941,21.2945314652232,292.745130332527,53.7825255945462,"Vcmax","New",3
"1882",467.487486663038,388.747962123321,1.31076475708846,21.9741158669168,267.810899473803,55.1052870941175,"Vcmax","Old",4,465.012674437334,388.816383000753,1.31098500416302,21.973580330819,267.808845416419,55.1052334052764,"Vcmax","New",4
"134",172.772600033265,200,0.653102696985559,21.2975459104079,292.747243348598,53.7825761199267,"Vcmax","Old",4,170.468149503987,200,0.653146568581941,21.2945314652232,292.745130332527,53.7825255945462,"Vcmax","New",4
"247",68.5576833626059,198.431189411974,0.639786751713234,122.795925036362,23947.1783288165,222.638780788191,"Vcmax","Old",5,66.0998484906722,198.494556583616,0.640008736440101,122.786179021079,23945.0070518894,222.636876643908,"Vcmax","New",5
"135",68.2642072476424,200,0.644704908646958,122.676621409887,23947.8460899914,219.594843922136,"Vcmax","Old",5,65.8169998693456,200,0.644727897718592,122.671236769345,23945.6223401818,219.592893812963,"Vcmax","New",5
"1971",52.7214695186316,747.844366533105,2.37448046596262,97.3768642280025,12129.2996721181,199.889142526459,"Vcmax","Old",6,50.2102996785946,747.658874080269,2.37390214344126,97.3602315801831,12124.2011174048,199.880733753091,"Vcmax","New",6
"136",65.918553044234,200,0.638801126807834,102.518918037478,20086.5778221794,206.981966970295,"Vcmax","Old",6,63.4290861248708,200,0.638816729662493,102.512058827642,20085.4569667882,206.980850914913,"Vcmax","New",6
"1883",53.76437279873,479.535813936545,1.53138744611011,75.5803641595357,163.112203870052,51.634387485796,"Vcmax","Old",7,51.2993167583691,478.573912936647,1.52833706473466,75.5638906052402,163.281161395379,51.6416345864346,"Vcmax","New",7
"138",68.0608327153737,200,0.643479949187588,81.636137478644,542.25379067541,58.0975479999686,"Vcmax","Old",7,65.6042410181087,200,0.64350024496127,81.6281520815308,542.270798145351,58.0977675473921,"Vcmax","New",7
"139",93.0301359053248,200,0.633590483846564,41.0675194111457,119.397074807451,30.4813270718707,"Vcmax","Old",8,90.5375477646905,200,0.633614074902408,41.0681658218314,119.439718796159,30.4827554611408,"Vcmax","New",8
"401",40,40,0.65,42.12415136,2.47386779877309e-27,-58.4261376081149,"Vcmax","Old",9,40,42,0.65,42.12415136,0.0132561005239942,-1.48542034919468,"Vcmax","New",9
