"","Ea_o","Hd_o","dS_o","k25_o","residual_o","BIC_o","Parameter","MA","ID","Ea","Hd","dS","k25","residual","BIC","Parameter","MA","ID"
"242",60.9713052326967,464.496601868719,1.48839668330154,49.1417418306244,23.9877036767894,34.3007510427462,"Jmax","Old",1,58.4774435962905,463.783145971326,1.48611214865953,49.1415392696567,23.9745934841364,34.2974709180427,"Jmax","New",1
"11",65.905268583692,200,0.635154898665295,49.178834900128,25.6198134543024,32.9039395511354,"Jmax","Old",1,63.4255365770547,200,0.635184950250652,49.1786128589375,25.6077691639194,32.9011181904568,"Jmax","New",1
"2421",60.9713052326967,464.496601868719,1.48839668330154,49.1417418306244,23.9877036767894,34.3007510427462,"Jmax","Old",2,58.4774435962905,463.783145971326,1.48611214865953,49.1415392696567,23.9745934841364,34.2974709180427,"Jmax","New",2
"111",65.905268583692,200,0.635154898665295,49.178834900128,25.6198134543024,32.9039395511354,"Jmax","Old",2,63.4255365770547,200,0.635184950250652,49.1786128589375,25.6077691639194,32.9011181904568,"Jmax","New",2
"113",87.5389102888937,200,0.636347305970298,37.4516252890917,405.782971976903,49.4786542493818,"Jmax","Old",3,85.0584103923329,200,0.636374119866765,37.4518070041095,405.796984576777,49.4788614393168,"Jmax","New",3
"114",87.5389102888937,200,0.636347305970298,37.4516252890917,405.782971976903,49.4786542493818,"Jmax","Old",4,85.0584103923329,200,0.636374119866765,37.4518070041095,405.796984576777,49.4788614393168,"Jmax","New",4
"212",19.1965198101136,255.072720313383,0.803120962307347,198.478371851598,25626.1245060094,205.573502927593,"Jmax","Old",5,16.7338725427294,254.444203828699,0.801173709508248,198.450924660292,25619.4657844069,205.56856530426,"Jmax","New",5
"115",20.7321452175115,200,0.629082370027827,199.837046312341,25725.8712017192,202.702875669893,"Jmax","Old",5,18.2636790378278,200,0.62912530774323,199.804028838872,25717.9443258799,202.697020324966,"Jmax","New",5
"254",20.9531077303949,767.957444029689,2.43313988942538,166.68228862234,15280.2094461423,195.749480180309,"Jmax","Old",6,18.4543240823083,767.467775296595,2.43160417370967,166.636350826847,15284.1136095051,195.754334147084,"Jmax","New",6
"116",28.8960859642354,200,0.633674433553003,172.4838153595,18308.1131737021,196.239971659021,"Jmax","Old",6,26.4269745620817,200,0.633703325895692,172.459190151653,18306.7711178838,196.23857883416,"Jmax","New",6
"1972",43.0622503025065,176.618553382651,0.569075098668567,135.681659784538,58.8726354556567,39.6877612657365,"Jmax","Old",7,40.6630488262156,176.50356216877,0.568748942129645,135.695878714559,58.9307425701199,39.6936803271572,"Jmax","New",7
"119",39.2304961788036,200,0.642210328878912,132.410172938206,69.334370616048,38.877387970378,"Jmax","Old",7,36.7942748206669,200,0.64223866156766,132.39476984617,69.5698112661306,38.897727822414,"Jmax","New",7
"35",40,35,0.65,105.9607061,199.317092224459,26.595546731049,"Jmax","Old",8,40,38,0.65,105.9607061,199.363109649763,26.5962392774854,"Jmax","New",8
"1110",24.6528742178926,200,0.627337867967152,89.9537564514342,3.43312265952184e-26,-166.288983035498,"Jmax","Old",8,22.159260456197,200,0.627379324035518,89.9560361134319,3.63507105125842e-27,-173.02526307296,"Jmax","New",8
"40",40,40,0.65,64.94138384,7.27014210251684e-27,-57.3481446066495,"Jmax","Old",9,40,42,0.65,64.94138384,0.0315062371149444,-0.619692682692311,"Jmax","New",9
"1111",40,200,0.65,64.94138384,28.3063006219303,6.18096148309596,"Jmax","Old",9,40,200,0.65,64.94138384,39.5929373769677,6.51652781969722,"Jmax","New",9
"200",726.647663606975,699.530819159072,2.37941768832311,201.321522783336,3938.3938228745,131.878158603298,"Jmax","Old",10,722.795580437838,698.211239587676,2.37493283528224,201.332775904918,3939.07671256373,131.880585894046,"Jmax","New",10
"1112",48.7090842412431,200,0.63758706892639,189.044309038441,4336.30403753356,130.586592873839,"Jmax","Old",10,46.2360294162118,200,0.637613988396136,189.040275619745,4336.82985548376,130.588290403567,"Jmax","New",10
"205",105.340214506818,153.47704069864,0.531492591769042,110.12833870602,184.366132308367,52.4917845766345,"Jmax","Old",11,102.954075105829,153.593230659709,0.531883452460884,110.122637573982,184.551595964745,52.4988227079279,"Jmax","New",11
"1113",39.6225574467703,200,0.661698486183053,120.902972309379,386.206659649927,55.7220173149301,"Jmax","Old",11,37.252816026992,200,0.661724761316124,120.90716464274,386.671687518791,55.7304408798722,"Jmax","New",11
"248",67.1636434715844,101.061063914379,0.331913581897129,127.425646668815,79.5849860706769,36.0735126213334,"Jmax","Old",12,64.7782713407956,101.200213841211,0.332398677687251,127.429162986449,79.4836468873006,36.0671418368989,"Jmax","New",12
"1114",43.1050417288808,200,0.635716719683548,120.314315694638,220.302108606602,39.554946546042,"Jmax","Old",12,40.6595793780229,200,0.635751953902775,120.293581636398,221.044183073931,39.5717604443485,"Jmax","New",12
"1841",28.884093914368,913.580904039381,2.91640223236672,78.6644387062661,163.734633725161,39.6806204833756,"Jmax","Old",13,26.3101002540722,718.737620727314,2.29284094601919,78.6721495645541,163.774608320215,39.6818410472597,"Jmax","New",13
"1115",35.2417677019037,200,0.636016372980001,78.6204447627868,167.774914915938,38.1930638641738,"Jmax","Old",13,32.7563600050503,200,0.636038358217653,78.6210044751974,167.769857525243,38.1929131423891,"Jmax","New",13
